File,Macro Name,Purpose,Parameters,SAS Constructs Used,SAS Formats/Informats,External Macro Dependencies,Detected Macro Calls,Lines of Code,Migration Classification,Recommended Snowflake Replacement
sql_datetime.sas,sql_datetime,Converts a SAS datetime literal to a SQL Server datetime literal.,SAS_DATETIME,PROC SQL; DATA STEP; LIBNAME Statement,datetime.,None,parmv; squote,201,(a) Direct Snowflake SQL equivalent,Snowflake natively handles datetime literals with TO_TIMESTAMP/TO_DATE. Use TRY_TO_TIMESTAMP for safe conversion.
squote.sas,squote,Wrap the argument in single quotes,VALUE,None (pure macro logic),to.,None,None,125,(a) Direct Snowflake SQL equivalent,Use Snowflake string concatenation or built-in quoting in SQL. Trivial string operation.
stp_batch_submit.sas,stp_batch_submit,Submit a SAS batch program from a Stored Process,MESSAGE; MESSAGEFILE; MVARS; SAS; CONFIG; PGM; LOG; LST; OPTIONS; TIMEOUT,PROC SQL; DATA STEP; DATA _NULL_; SYSTASK; LIBNAME Statement,from.; is.,parmv,lock; parmv,351,(d) No longer needed in Snowflake,SAS Stored Process batch submission. Replace with Snowflake Tasks or external orchestrator (Airflow/dbt).
stp_seplist.sas,stp_seplist,Transform stored process (STP) multi-select macro variable array into a separated list output.,MVAR; COUNT; DLM; INDLM; NEST; UPPER,PROC PRINT; DATA STEP,macro.; text.; unless.,"parmv, seplist",parmv; seplist,210,(d) No longer needed in Snowflake,SAS Stored Process multi-select parameter handling. No equivalent needed; Snowflake UIs/BI tools handle parameter arrays natively.
stp_session.sas,stp_session,,None,None (pure macro logic),None,None,None,55,(d) No longer needed in Snowflake,SAS Stored Process session management. No equivalent needed in Snowflake's stateless SQL model.
subset_data.sas,subset_data,Subset the input dataset by observations and variables. Also rename variables.,DATA; OUT; WHERE; IF; FIRSTOBS; LASTOBS; OBS; KEEP; DROP; RENAME,PROC IMPORT; DATA STEP,None,parmv,parmv,209,(a) Direct Snowflake SQL equivalent,"Use CREATE TABLE AS SELECT with WHERE clause, LIMIT, and OFFSET in Snowflake SQL."
symget.sas,symget,Get value for global macro variable that is hidden by local macro variable.,MVAR; INCLUDE; EXCLUDE; RECURSE,None (pure macro logic),as.; for.; from.; offset.,"parmv, seplist",parmv; seplist,148,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure using session variables (SET/GETVARIABLE) for macro-variable-like parameter passing.
time_interval.sas,time_interval,"Create a metadata dataset of date, time, or datetime values for a specified time interval.",INTERVAL; MULTIPLE; SHIFT; START; END; INCREMENT; DIRECTION; ALIGNMENT; DATASET; MVAR; FORMAT,PROC SQL,is.; of.,parmv,parmv,197,(a) Direct Snowflake SQL equivalent,"Use Snowflake GENERATOR + DATEADD for time series: SELECT DATEADD(interval, SEQ4(), start) FROM TABLE(GENERATOR(ROWCOUNT=>n))."
transpose.sas,transpose,Transpose the input dataset.,DATA; OUT; BY; VAR; PREFIX; SORT; NOTSORTED; ID; IDLABEL; LET; COPY; WHERE; FORMAT; LBL; COL; NAME; LABEL,PROC SORT; PROC TRANSPOSE,is.; labels.; names.; of.; to.,"parmv, loop, seplist, kill",kill; loop; parmv,352,(a) Direct Snowflake SQL equivalent,Use Snowflake PIVOT/UNPIVOT syntax: SELECT * FROM table PIVOT(AGG(val) FOR col IN (values)).
txt2pdf.sas,txt2pdf,,in; out; infile; file; ls; ps; fs; minfs; maxfs; filenfs; wm; wmfs; charset; crlf; cc; orient; tm; bm; lm; rm; fontstep; author; title; subject; bookmk,DATA STEP; DATA _NULL_; FILENAME Statement,10.6; 8.; changes.; is.; of.; time8.; yymmdd10.,None,varexist,734,(c) Requires Python/dbt replacement,Use Python (reportlab or fpdf2) to convert text files to PDF. Not a database operation; runs externally.
txt2rtf.sas,txt2rtf,,in; out; font; fs; orient; magnif; margins; hanging; tabalign; startRule; endRuleSameLine; endRuleNextLine; author; title; subject; keywords; toc,DATA _NULL_; FILENAME Statement,of.,None,parmv,200,(c) Requires Python/dbt replacement,Use Python (python-docx or PyRTF3) to convert text to RTF format. Not a database operation; runs externally.
useridToEmail.sas,useridToEmail,Maps a userid to the corresponding email address,USERID; MVAR; DEBUG,DATA STEP; DATA _NULL_,None,"parmv, queryActiveDirectory",QueryActiveDirectory; parmv,113,(c) Requires Python/dbt replacement,Use Python LDAP lookup or maintain a Snowflake mapping table (userid -> email). Can be a simple SQL JOIN if mapping table exists.
varexist.sas,varexist,"Check for the existence of a specified variable, optionally returning attributes.",DATA; VAR; INFO,DATA STEP,None,parmv,parmv,142,(a) Direct Snowflake SQL equivalent,Query INFORMATION_SCHEMA.COLUMNS to check column existence: SELECT * FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME=x AND COLUMN_NAME=y.
varlist.sas,varlist,Returns a string containing a space separated list of variables in a dataset,DATA; UPCASE,None (pure macro logic),is.,parmv,parmv,137,(a) Direct Snowflake SQL equivalent,Query INFORMATION_SCHEMA.COLUMNS to list columns: SELECT COLUMN_NAME FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME=x ORDER BY ORDINAL_POSITION.
varlist2.sas,varlist2,Returns a string containing a space separated list of variables in a dataset. Supports dataset options and sorting of the returned variable list.,DATA; UPCASE; SORT; MVAR,PROC SQL; PROC CONTENTS,is.,parmv,parmv,231,(a) Direct Snowflake SQL equivalent,Query INFORMATION_SCHEMA.COLUMNS with sorting/filtering for column list with attributes.
